name,price,url
100% Dark Hot Chocolate Flakes,12.93,https://www.chocolate.co.uk/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,41.6,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,41.6,https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,6.83,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,6.83,https://www.chocolate.co.uk/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,12.93,https://www.chocolate.co.uk/products/70-dark-hot-chocolate-flakes
Almost Perfect,2.6,https://www.chocolate.co.uk/products/almost-perfect
Assorted Chocolate Malt Balls,7.15,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
Blonde Caramel,3.9,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,11.05,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,11.7,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Hot Chocolate Flakes,12.93,https://www.chocolate.co.uk/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,13.0,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,22.75,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,3.9,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,3.9,https://www.chocolate.co.uk/products/chai-caramel-latte
Chocolate Celebration Hamper,57.2,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,1.95,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Christmas Truffle Selection,25.93,https://www.chocolate.co.uk/products/pre-order-christmas-truffle-selection
Cinnamon Toast,3.9,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,29.25,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,3.9,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Crunchy Biscuit,3.9,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,5.2,https://www.chocolate.co.uk/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,5.85,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
